"module" "Zsummaries" "comp" "comp_group" "noise" "module_size"
"97" "lightsteelblue1" 9.21199 "c3" "c" 1 195
"98" "lightsteelblue1" 9.51991 "c3" "c" 1 195
"99" "lightsteelblue1" 11.43498 "c3" "c" 1 195
"100" "lightsteelblue1" 8.52743 "c4" "c" 1 195
"101" "lightsteelblue1" 9.03483 "c4" "c" 1 195
"102" "lightsteelblue1" 14.27817 "c4" "c" 1 195
"103" "lightsteelblue1" 9.55324 "c5" "c" 1 195
"104" "lightsteelblue1" 9.88781 "c5" "c" 1 195
"105" "lightsteelblue1" 12.44281 "c5" "c" 1 195
"106" "lightsteelblue1" 7.92283 "a1" "a" 1 195
"107" "lightsteelblue1" 9.10626 "a1" "a" 1 195
"108" "lightsteelblue1" 14.6431 "a1" "a" 1 195
"109" "lightsteelblue1" 7.69751 "a2" "a" 1 195
"110" "lightsteelblue1" 11.83926 "a2" "a" 1 195
"111" "lightsteelblue1" 11.93128 "a2" "a" 1 195
"112" "lightsteelblue1" 9.23938 "a3" "a" 1 195
"113" "lightsteelblue1" 10.1104 "a3" "a" 1 195
"114" "lightsteelblue1" 11.81748 "a3" "a" 1 195
"115" "lightsteelblue1" 8.0599 "a4" "a" 1 195
"116" "lightsteelblue1" 10.6647 "a4" "a" 1 195
"117" "lightsteelblue1" 12.09419 "a4" "a" 1 195
"118" "lightsteelblue1" 9.8196 "a5" "a" 1 195
"119" "lightsteelblue1" 11.26817 "a5" "a" 1 195
"120" "lightsteelblue1" 13.88135 "a5" "a" 1 195
"121" "lightsteelblue1" 8.32201 "h1" "h" 1 195
"122" "lightsteelblue1" 10.76294 "h1" "h" 1 195
"123" "lightsteelblue1" 12.26473 "h1" "h" 1 195
"124" "lightsteelblue1" 9.76638 "h2" "h" 1 195
"125" "lightsteelblue1" 10.36366 "h2" "h" 1 195
"126" "lightsteelblue1" 13.85846 "h2" "h" 1 195
"127" "lightsteelblue1" 7.89606 "h3" "h" 1 195
"128" "lightsteelblue1" 9.80785 "h3" "h" 1 195
"129" "lightsteelblue1" 12.85209 "h3" "h" 1 195
"130" "lightsteelblue1" 7.71845 "h4" "h" 1 195
"131" "lightsteelblue1" 8.49075 "h4" "h" 1 195
"132" "lightsteelblue1" 13.62773 "h4" "h" 1 195
"133" "lightsteelblue1" 8.94382 "h5" "h" 1 195
"134" "lightsteelblue1" 10.98039 "h5" "h" 1 195
"135" "lightsteelblue1" 14.2814 "h5" "h" 1 195
"136" "lightsteelblue1" 7.31151 "c1" "c" 2 195
"137" "lightsteelblue1" 10.46459 "c1" "c" 2 195
"138" "lightsteelblue1" 11.18754 "c1" "c" 2 195
"139" "lightsteelblue1" 8.12271 "c2" "c" 2 195
"140" "lightsteelblue1" 8.81429 "c2" "c" 2 195
"141" "lightsteelblue1" 10.89895 "c2" "c" 2 195
"142" "lightsteelblue1" 7.55901 "c3" "c" 2 195
"143" "lightsteelblue1" 9.29482 "c3" "c" 2 195
"144" "lightsteelblue1" 11.07311 "c3" "c" 2 195
"145" "lightsteelblue1" 6.77636 "c4" "c" 2 195
"146" "lightsteelblue1" 7.04786 "c4" "c" 2 195
"147" "lightsteelblue1" 10.8738 "c4" "c" 2 195
"148" "lightsteelblue1" 8.24835 "c5" "c" 2 195
"149" "lightsteelblue1" 8.35008 "c5" "c" 2 195
"150" "lightsteelblue1" 10.46056 "c5" "c" 2 195
"151" "lightsteelblue1" 8.04156 "a1" "a" 2 195
"152" "lightsteelblue1" 9.23007 "a1" "a" 2 195
"153" "lightsteelblue1" 10.49064 "a1" "a" 2 195
"154" "lightsteelblue1" 7.17187 "a2" "a" 2 195
"155" "lightsteelblue1" 10.92768 "a2" "a" 2 195
"156" "lightsteelblue1" 10.11812 "a2" "a" 2 195
"157" "lightsteelblue1" 8.44621 "a3" "a" 2 195
"158" "lightsteelblue1" 8.98307 "a3" "a" 2 195
"159" "lightsteelblue1" 11.36751 "a3" "a" 2 195
"160" "lightsteelblue1" 6.8615 "a4" "a" 2 195
"161" "lightsteelblue1" 9.14081 "a4" "a" 2 195
"162" "lightsteelblue1" 10.97974 "a4" "a" 2 195
"163" "lightsteelblue1" 8.41572 "a5" "a" 2 195
"164" "lightsteelblue1" 9.13612 "a5" "a" 2 195
"165" "lightsteelblue1" 11.19808 "a5" "a" 2 195
"166" "lightsteelblue1" 7.67103 "h1" "h" 2 195
"167" "lightsteelblue1" 9.37177 "h1" "h" 2 195
"168" "lightsteelblue1" 10.38082 "h1" "h" 2 195
"169" "lightsteelblue1" 7.62154 "h2" "h" 2 195
"170" "lightsteelblue1" 8.85179 "h2" "h" 2 195
"171" "lightsteelblue1" 12.22163 "h2" "h" 2 195
"172" "lightsteelblue1" 7.76147 "h3" "h" 2 195
"173" "lightsteelblue1" 9.87919 "h3" "h" 2 195
"174" "lightsteelblue1" 12.98797 "h3" "h" 2 195
"175" "lightsteelblue1" 6.96037 "h4" "h" 2 195
"176" "lightsteelblue1" 8.40489 "h4" "h" 2 195
"177" "lightsteelblue1" 11.92526 "h4" "h" 2 195
"178" "lightsteelblue1" 7.0707 "h5" "h" 2 195
"179" "lightsteelblue1" 9.59241 "h5" "h" 2 195
"180" "lightsteelblue1" 12.97301 "h5" "h" 2 195
"181" "mediumpurple3" 7.71873 "c1" "c" 0.1 196
"182" "mediumpurple3" 7.27079 "c1" "c" 0.1 196
"183" "mediumpurple3" 10.68722 "c1" "c" 0.1 196
"184" "mediumpurple3" 11.56298 "c1" "c" 0.1 196
"185" "mediumpurple3" 8.12044 "c2" "c" 0.1 196
"186" "mediumpurple3" 8.17604 "c2" "c" 0.1 196
"187" "mediumpurple3" 10.40812 "c2" "c" 0.1 196
"188" "mediumpurple3" 12.52279 "c2" "c" 0.1 196
"189" "mediumpurple3" 9.50261 "c3" "c" 0.1 196
"190" "mediumpurple3" 7.12301 "c3" "c" 0.1 196
"191" "mediumpurple3" 12.95749 "c3" "c" 0.1 196
"192" "mediumpurple3" 13.62248 "c3" "c" 0.1 196
"193" "mediumpurple3" 8.65746 "c4" "c" 0.1 196
"194" "mediumpurple3" 7.96411 "c4" "c" 0.1 196
"195" "mediumpurple3" 10.15833 "c4" "c" 0.1 196
"196" "mediumpurple3" 13.06228 "c4" "c" 0.1 196
"197" "mediumpurple3" 8.2283 "c5" "c" 0.1 196
"198" "mediumpurple3" 8.03733 "c5" "c" 0.1 196
"199" "mediumpurple3" 10.29946 "c5" "c" 0.1 196
"200" "mediumpurple3" 11.54406 "c5" "c" 0.1 196
"201" "mediumpurple3" 9.42497 "a1" "a" 0.1 196
"202" "mediumpurple3" 7.53694 "a1" "a" 0.1 196
"203" "mediumpurple3" 10.75329 "a1" "a" 0.1 196
"204" "mediumpurple3" 11.89207 "a1" "a" 0.1 196
"205" "mediumpurple3" 9.26819 "a2" "a" 0.1 196
"206" "mediumpurple3" 7.26897 "a2" "a" 0.1 196
"207" "mediumpurple3" 11.72763 "a2" "a" 0.1 196
"208" "mediumpurple3" 12.00852 "a2" "a" 0.1 196
"209" "mediumpurple3" 9.14338 "a3" "a" 0.1 196
"210" "mediumpurple3" 7.6899 "a3" "a" 0.1 196
"211" "mediumpurple3" 11.06167 "a3" "a" 0.1 196
"212" "mediumpurple3" 12.45081 "a3" "a" 0.1 196
"213" "mediumpurple3" 9.4706 "a4" "a" 0.1 196
"214" "mediumpurple3" 7.86709 "a4" "a" 0.1 196
"215" "mediumpurple3" 9.8678 "a4" "a" 0.1 196
"216" "mediumpurple3" 13.4794 "a4" "a" 0.1 196
"217" "mediumpurple3" 9.38663 "a5" "a" 0.1 196
"218" "mediumpurple3" 8.32955 "a5" "a" 0.1 196
"219" "mediumpurple3" 12.80182 "a5" "a" 0.1 196
"220" "mediumpurple3" 13.85181 "a5" "a" 0.1 196
"221" "mediumpurple3" 8.02606 "h1" "h" 0.1 196
"222" "mediumpurple3" 8.39253 "h1" "h" 0.1 196
"223" "mediumpurple3" 10.57193 "h1" "h" 0.1 196
"224" "mediumpurple3" 14.22022 "h1" "h" 0.1 196
"225" "mediumpurple3" 8.11053 "h2" "h" 0.1 196
"226" "mediumpurple3" 7.27958 "h2" "h" 0.1 196
"227" "mediumpurple3" 12.26019 "h2" "h" 0.1 196
"228" "mediumpurple3" 13.69899 "h2" "h" 0.1 196
"229" "mediumpurple3" 8.26548 "h3" "h" 0.1 196
"230" "mediumpurple3" 8.03964 "h3" "h" 0.1 196
"231" "mediumpurple3" 11.30631 "h3" "h" 0.1 196
"232" "mediumpurple3" 12.99596 "h3" "h" 0.1 196
"233" "mediumpurple3" 9.23986 "h4" "h" 0.1 196
"234" "mediumpurple3" 7.4501 "h4" "h" 0.1 196
"235" "mediumpurple3" 11.87969 "h4" "h" 0.1 196
"236" "mediumpurple3" 10.60946 "h4" "h" 0.1 196
"237" "mediumpurple3" 8.48856 "h5" "h" 0.1 196
"238" "mediumpurple3" 7.04047 "h5" "h" 0.1 196
"239" "mediumpurple3" 11.25042 "h5" "h" 0.1 196
"240" "mediumpurple3" 13.87962 "h5" "h" 0.1 196
"241" "orangered4" 8.51155 "c1" "c" 0.1 196
"242" "orangered4" 6.04826 "c1" "c" 0.1 196
"243" "orangered4" 10.44476 "c1" "c" 0.1 196
"244" "orangered4" 15.49448 "c1" "c" 0.1 196
"245" "orangered4" 7.56533 "c2" "c" 0.1 196
"246" "orangered4" 6.91687 "c2" "c" 0.1 196
"247" "orangered4" 11.51983 "c2" "c" 0.1 196
"248" "orangered4" 15.84208 "c2" "c" 0.1 196
"249" "orangered4" 8.55535 "c3" "c" 0.1 196
"250" "orangered4" 6.10993 "c3" "c" 0.1 196
"251" "orangered4" 10.88853 "c3" "c" 0.1 196
"252" "orangered4" 15.54417 "c3" "c" 0.1 196
"253" "orangered4" 7.14325 "c4" "c" 0.1 196
"254" "orangered4" 5.93466 "c4" "c" 0.1 196
"255" "orangered4" 9.03978 "c4" "c" 0.1 196
"256" "orangered4" 13.84338 "c4" "c" 0.1 196
"257" "orangered4" 7.01297 "c5" "c" 0.1 196
"258" "orangered4" 6.43728 "c5" "c" 0.1 196
"259" "orangered4" 11.85856 "c5" "c" 0.1 196
"260" "orangered4" 15.16203 "c5" "c" 0.1 196
"261" "orangered4" 8.02251 "a1" "a" 0.1 196
"262" "orangered4" 6.38659 "a1" "a" 0.1 196
"263" "orangered4" 11.49296 "a1" "a" 0.1 196
"264" "orangered4" 15.37527 "a1" "a" 0.1 196
"265" "orangered4" 8.33666 "a2" "a" 0.1 196
"266" "orangered4" 6.70618 "a2" "a" 0.1 196
"267" "orangered4" 10.48713 "a2" "a" 0.1 196
"268" "orangered4" 14.08333 "a2" "a" 0.1 196
"269" "orangered4" 7.40765 "a3" "a" 0.1 196
"270" "orangered4" 6.70034 "a3" "a" 0.1 196
"271" "orangered4" 13.76574 "a3" "a" 0.1 196
"272" "orangered4" 13.47491 "a3" "a" 0.1 196
"273" "orangered4" 6.91623 "a4" "a" 0.1 196
"274" "orangered4" 6.84972 "a4" "a" 0.1 196
"275" "orangered4" 10.44195 "a4" "a" 0.1 196
"276" "orangered4" 14.57503 "a4" "a" 0.1 196
"277" "orangered4" 7.63399 "a5" "a" 0.1 196
"278" "orangered4" 6.14112 "a5" "a" 0.1 196
"279" "orangered4" 11.77006 "a5" "a" 0.1 196
"280" "orangered4" 13.31285 "a5" "a" 0.1 196
"281" "orangered4" 8.47468 "h1" "h" 0.1 196
"282" "orangered4" 5.8347 "h1" "h" 0.1 196
"283" "orangered4" 10.22308 "h1" "h" 0.1 196
"284" "orangered4" 14.21481 "h1" "h" 0.1 196
"285" "orangered4" 7.53252 "h2" "h" 0.1 196
"286" "orangered4" 6.00361 "h2" "h" 0.1 196
"287" "orangered4" 12.61423 "h2" "h" 0.1 196
"288" "orangered4" 14.43802 "h2" "h" 0.1 196
"289" "orangered4" 8.51794 "h3" "h" 0.1 196
"290" "orangered4" 6.71173 "h3" "h" 0.1 196
"291" "orangered4" 12.18561 "h3" "h" 0.1 196
"292" "orangered4" 15.3164 "h3" "h" 0.1 196
"293" "orangered4" 7.50705 "h4" "h" 0.1 196
"294" "orangered4" 6.1003 "h4" "h" 0.1 196
"295" "orangered4" 10.76846 "h4" "h" 0.1 196
"296" "orangered4" 15.94598 "h4" "h" 0.1 196
"297" "orangered4" 8.12782 "h5" "h" 0.1 196
"298" "orangered4" 6.81642 "h5" "h" 0.1 196
"299" "orangered4" 12.2315 "h5" "h" 0.1 196
"300" "orangered4" 13.22316 "h5" "h" 0.1 196
"301" "mediumpurple3" 7.40094 "c1" "c" 0.5 196
"302" "mediumpurple3" 7.28987 "c1" "c" 0.5 196
"303" "mediumpurple3" 10.46968 "c1" "c" 0.5 196
"304" "mediumpurple3" 11.39329 "c1" "c" 0.5 196
"305" "mediumpurple3" 7.86146 "c2" "c" 0.5 196
"306" "mediumpurple3" 8.04995 "c2" "c" 0.5 196
"307" "mediumpurple3" 10.13611 "c2" "c" 0.5 196
"308" "mediumpurple3" 12.16103 "c2" "c" 0.5 196
"309" "mediumpurple3" 9.04072 "c3" "c" 0.5 196
"310" "mediumpurple3" 7.19363 "c3" "c" 0.5 196
"311" "mediumpurple3" 12.69215 "c3" "c" 0.5 196
"312" "mediumpurple3" 13.56733 "c3" "c" 0.5 196
"313" "mediumpurple3" 8.6336 "c4" "c" 0.5 196
"314" "mediumpurple3" 7.81994 "c4" "c" 0.5 196
"315" "mediumpurple3" 10.07502 "c4" "c" 0.5 196
"316" "mediumpurple3" 12.4037 "c4" "c" 0.5 196
"317" "mediumpurple3" 8.00793 "c5" "c" 0.5 196
"318" "mediumpurple3" 8.00491 "c5" "c" 0.5 196
"319" "mediumpurple3" 10.51723 "c5" "c" 0.5 196
"320" "mediumpurple3" 11.38081 "c5" "c" 0.5 196
"321" "mediumpurple3" 9.17344 "a1" "a" 0.5 196
"322" "mediumpurple3" 7.34618 "a1" "a" 0.5 196
"323" "mediumpurple3" 10.31075 "a1" "a" 0.5 196
"324" "mediumpurple3" 11.82292 "a1" "a" 0.5 196
