"module" "comp" "comp_group" "noise" "score" "conserved" "module_size"
"89" "mediumpurple3" "c3" "c" 0.1 11.2301 TRUE 196
"90" "mediumpurple3" "c3" "c" 0.5 10.8664 TRUE 196
"91" "mediumpurple3" "c3" "c" 1 10.1585 TRUE 196
"92" "mediumpurple3" "c3" "c" 2 7.8285 FALSE 196
"93" "mediumpurple3" "c4" "c" 0.1 9.4079 FALSE 196
"94" "mediumpurple3" "c4" "c" 0.5 9.3543 FALSE 196
"95" "mediumpurple3" "c4" "c" 1 8.1024 FALSE 196
"96" "mediumpurple3" "c4" "c" 2 6.5184 FALSE 196
"97" "mediumpurple3" "c5" "c" 0.1 9.2639 FALSE 196
"98" "mediumpurple3" "c5" "c" 0.5 9.2626 FALSE 196
"99" "mediumpurple3" "c5" "c" 1 8.1091 FALSE 196
"100" "mediumpurple3" "c5" "c" 2 6.6398 FALSE 196
"101" "mediumpurple3" "h1" "h" 0.1 9.4822 FALSE 196
"102" "mediumpurple3" "h1" "h" 0.5 9.5175 FALSE 196
"103" "mediumpurple3" "h1" "h" 1 8.0451 FALSE 196
"104" "mediumpurple3" "h1" "h" 2 7.207 FALSE 196
"105" "mediumpurple3" "h2" "h" 0.1 10.1854 TRUE 196
"106" "mediumpurple3" "h2" "h" 0.5 9.9002 FALSE 196
"107" "mediumpurple3" "h2" "h" 1 8.3631 FALSE 196
"108" "mediumpurple3" "h2" "h" 2 6.5714 FALSE 196
"109" "mediumpurple3" "h3" "h" 0.1 9.7859 FALSE 196
"110" "mediumpurple3" "h3" "h" 0.5 9.6191 FALSE 196
"111" "mediumpurple3" "h3" "h" 1 8.3473 FALSE 196
"112" "mediumpurple3" "h3" "h" 2 6.8002 FALSE 196
"113" "mediumpurple3" "h4" "h" 0.1 9.9247 FALSE 196
"114" "mediumpurple3" "h4" "h" 0.5 9.6164 FALSE 196
"115" "mediumpurple3" "h4" "h" 1 8.8578 FALSE 196
"116" "mediumpurple3" "h4" "h" 2 6.684 FALSE 196
"117" "mediumpurple3" "h5" "h" 0.1 9.8695 FALSE 196
"118" "mediumpurple3" "h5" "h" 0.5 9.5591 FALSE 196
"119" "mediumpurple3" "h5" "h" 1 7.245 FALSE 196
"120" "mediumpurple3" "h5" "h" 2 6.8501 FALSE 196
"121" "orangered4" "a1" "a" 0.1 9.7577 FALSE 196
"122" "orangered4" "a1" "a" 0.5 9.3912 FALSE 196
"123" "orangered4" "a1" "a" 1 8.8965 FALSE 196
"124" "orangered4" "a1" "a" 2 6.9429 FALSE 196
"125" "orangered4" "a2" "a" 0.1 9.4119 FALSE 196
"126" "orangered4" "a2" "a" 0.5 8.9944 FALSE 196
"127" "orangered4" "a2" "a" 1 8.0094 FALSE 196
"128" "orangered4" "a2" "a" 2 6.9223 FALSE 196
"129" "orangered4" "a3" "a" 0.1 10.4413 TRUE 196
"130" "orangered4" "a3" "a" 0.5 10.4874 TRUE 196
"131" "orangered4" "a3" "a" 1 8.9873 FALSE 196
"132" "orangered4" "a3" "a" 2 7.833 FALSE 196
"133" "orangered4" "a4" "a" 0.1 8.6791 FALSE 196
"134" "orangered4" "a4" "a" 0.5 8.4136 FALSE 196
"135" "orangered4" "a4" "a" 1 8.8694 FALSE 196
"136" "orangered4" "a4" "a" 2 7.0724 FALSE 196
"137" "orangered4" "a5" "a" 0.1 9.702 FALSE 196
"138" "orangered4" "a5" "a" 0.5 9.5773 FALSE 196
"139" "orangered4" "a5" "a" 1 8.2284 FALSE 196
"140" "orangered4" "a5" "a" 2 6.7393 FALSE 196
"141" "orangered4" "c1" "c" 0.1 9.4782 FALSE 196
"142" "orangered4" "c1" "c" 0.5 9.3094 FALSE 196
"143" "orangered4" "c1" "c" 1 8.2635 FALSE 196
"144" "orangered4" "c1" "c" 2 7.0159 FALSE 196
"145" "orangered4" "c2" "c" 0.1 9.5426 FALSE 196
"146" "orangered4" "c2" "c" 0.5 9.5949 FALSE 196
"147" "orangered4" "c2" "c" 1 8.7322 FALSE 196
"148" "orangered4" "c2" "c" 2 7.2318 FALSE 196
"149" "orangered4" "c3" "c" 0.1 9.7219 FALSE 196
"150" "orangered4" "c3" "c" 0.5 9.575 FALSE 196
"151" "orangered4" "c3" "c" 1 8.5646 FALSE 196
"152" "orangered4" "c3" "c" 2 6.5728 FALSE 196
"153" "orangered4" "c4" "c" 0.1 8.0915 FALSE 196
"154" "orangered4" "c4" "c" 0.5 7.8816 FALSE 196
"155" "orangered4" "c4" "c" 1 6.8325 FALSE 196
"156" "orangered4" "c4" "c" 2 6.0281 FALSE 196
"157" "orangered4" "c5" "c" 0.1 9.4358 FALSE 196
"158" "orangered4" "c5" "c" 0.5 9.4529 FALSE 196
"159" "orangered4" "c5" "c" 1 8.278 FALSE 196
"160" "orangered4" "c5" "c" 2 6.8927 FALSE 196
"161" "orangered4" "h1" "h" 0.1 9.3489 FALSE 196
"162" "orangered4" "h1" "h" 0.5 9.276 FALSE 196
"163" "orangered4" "h1" "h" 1 8.4844 FALSE 196
"164" "orangered4" "h1" "h" 2 6.9129 FALSE 196
"165" "orangered4" "h2" "h" 0.1 10.0734 TRUE 196
"166" "orangered4" "h2" "h" 0.5 9.9452 FALSE 196
"167" "orangered4" "h2" "h" 1 8.5942 FALSE 196
"168" "orangered4" "h2" "h" 2 7.902 FALSE 196
"169" "orangered4" "h3" "h" 0.1 10.3518 TRUE 196
"170" "orangered4" "h3" "h" 0.5 10.0772 TRUE 196
"171" "orangered4" "h3" "h" 1 9.8453 FALSE 196
"172" "orangered4" "h3" "h" 2 6.9092 FALSE 196
"173" "orangered4" "h4" "h" 0.1 9.1378 FALSE 196
"174" "orangered4" "h4" "h" 0.5 9.1452 FALSE 196
"175" "orangered4" "h4" "h" 1 8.5901 FALSE 196
"176" "orangered4" "h4" "h" 2 6.6202 FALSE 196
"177" "orangered4" "h5" "h" 0.1 10.1797 TRUE 196
"178" "orangered4" "h5" "h" 0.5 10.2149 TRUE 196
"179" "orangered4" "h5" "h" 1 8.2419 FALSE 196
"180" "orangered4" "h5" "h" 2 7.4127 FALSE 196
"181" "plum1" "a1" "a" 0.1 9.3677 FALSE 216
"182" "plum1" "a1" "a" 0.5 8.8713 FALSE 216
"183" "plum1" "a1" "a" 1 7.3069 FALSE 216
"184" "plum1" "a1" "a" 2 5.588 FALSE 216
"185" "plum1" "a2" "a" 0.1 8.2921 FALSE 216
"186" "plum1" "a2" "a" 0.5 8.0891 FALSE 216
"187" "plum1" "a2" "a" 1 6.6615 FALSE 216
"188" "plum1" "a2" "a" 2 5.7499 FALSE 216
"189" "plum1" "a3" "a" 0.1 8.8662 FALSE 216
"190" "plum1" "a3" "a" 0.5 8.4699 FALSE 216
"191" "plum1" "a3" "a" 1 7.9909 FALSE 216
"192" "plum1" "a3" "a" 2 5.0309 FALSE 216
"193" "plum1" "a4" "a" 0.1 8.1009 FALSE 216
"194" "plum1" "a4" "a" 0.5 7.7213 FALSE 216
"195" "plum1" "a4" "a" 1 6.7582 FALSE 216
"196" "plum1" "a4" "a" 2 5.7372 FALSE 216
"197" "plum1" "a5" "a" 0.1 8.4939 FALSE 216
"198" "plum1" "a5" "a" 0.5 8.2872 FALSE 216
"199" "plum1" "a5" "a" 1 6.9086 FALSE 216
"200" "plum1" "a5" "a" 2 6.2901 FALSE 216
"201" "plum1" "c1" "c" 0.1 9.6454 FALSE 216
"202" "plum1" "c1" "c" 0.5 9.3628 FALSE 216
"203" "plum1" "c1" "c" 1 7.5201 FALSE 216
"204" "plum1" "c1" "c" 2 5.9332 FALSE 216
"205" "plum1" "c2" "c" 0.1 8.3177 FALSE 216
"206" "plum1" "c2" "c" 0.5 8.1925 FALSE 216
"207" "plum1" "c2" "c" 1 6.6429 FALSE 216
"208" "plum1" "c2" "c" 2 4.2688 FALSE 216
"209" "plum1" "c3" "c" 0.1 8.6748 FALSE 216
"210" "plum1" "c3" "c" 0.5 8.5514 FALSE 216
"211" "plum1" "c3" "c" 1 6.6791 FALSE 216
"212" "plum1" "c3" "c" 2 5.4324 FALSE 216
"213" "plum1" "c4" "c" 0.1 8.4877 FALSE 216
"214" "plum1" "c4" "c" 0.5 8.162 FALSE 216
"215" "plum1" "c4" "c" 1 6.7807 FALSE 216
"216" "plum1" "c4" "c" 2 5.9542 FALSE 216
"217" "plum1" "c5" "c" 0.1 9.0431 FALSE 216
"218" "plum1" "c5" "c" 0.5 8.6685 FALSE 216
"219" "plum1" "c5" "c" 1 7.2857 FALSE 216
"220" "plum1" "c5" "c" 2 5.5577 FALSE 216
"221" "plum1" "h1" "h" 0.1 8.7171 FALSE 216
"222" "plum1" "h1" "h" 0.5 8.2618 FALSE 216
"223" "plum1" "h1" "h" 1 7.6451 FALSE 216
"224" "plum1" "h1" "h" 2 5.1472 FALSE 216
"225" "plum1" "h2" "h" 0.1 8.6428 FALSE 216
"226" "plum1" "h2" "h" 0.5 8.3432 FALSE 216
"227" "plum1" "h2" "h" 1 7.0518 FALSE 216
"228" "plum1" "h2" "h" 2 6.0056 FALSE 216
"229" "plum1" "h3" "h" 0.1 8.736 FALSE 216
"230" "plum1" "h3" "h" 0.5 8.4957 FALSE 216
"231" "plum1" "h3" "h" 1 6.6537 FALSE 216
"232" "plum1" "h3" "h" 2 5.1161 FALSE 216
"233" "plum1" "h4" "h" 0.1 8.1538 FALSE 216
"234" "plum1" "h4" "h" 0.5 7.7244 FALSE 216
"235" "plum1" "h4" "h" 1 6.6036 FALSE 216
"236" "plum1" "h4" "h" 2 5.6977 FALSE 216
"237" "plum1" "h5" "h" 0.1 8.0692 FALSE 216
"238" "plum1" "h5" "h" 0.5 7.8431 FALSE 216
"239" "plum1" "h5" "h" 1 6.5286 FALSE 216
"240" "plum1" "h5" "h" 2 4.7999 FALSE 216
"241" "skyblue3" "a1" "a" 0.1 9.364 FALSE 223
"242" "skyblue3" "a1" "a" 0.5 9.1653 FALSE 223
"243" "skyblue3" "a1" "a" 1 7.7347 FALSE 223
"244" "skyblue3" "a1" "a" 2 6.399 FALSE 223
"245" "skyblue3" "a2" "a" 0.1 8.9488 FALSE 223
"246" "skyblue3" "a2" "a" 0.5 8.8665 FALSE 223
"247" "skyblue3" "a2" "a" 1 7.4978 FALSE 223
"248" "skyblue3" "a2" "a" 2 6.602 FALSE 223
"249" "skyblue3" "a3" "a" 0.1 8.6821 FALSE 223
"250" "skyblue3" "a3" "a" 0.5 8.77 FALSE 223
"251" "skyblue3" "a3" "a" 1 7.6536 FALSE 223
