"module" "Zsummaries" "comp" "module_size" "Case"
"116" "paleturquoise" 0.59707 "n4p" 281 "A"
"117" "paleturquoise" 4.21863 "4p" 281 "A"
"118" "paleturquoise" 2.70614 "n4p" 281 "A"
"119" "paleturquoise" -0.74951 "4p" 281 "A"
"120" "paleturquoise" 3.43335 "n4p" 281 "A"
"121" "paleturquoise" 4.40497 "4p" 281 "A"
"122" "paleturquoise" 3.15777 "n4p" 281 "A"
"123" "steelblue" 3.71761 "4p" 288 "D"
"124" "steelblue" 1.09398 "n4p" 288 "D"
"125" "steelblue" 2.35679 "4p" 288 "D"
"126" "steelblue" 1.72642 "n4p" 288 "D"
"127" "steelblue" 1.46279 "4p" 288 "D"
"128" "steelblue" 2.65607 "n4p" 288 "D"
"129" "steelblue" 0.1495 "4p" 288 "D"
"130" "steelblue" 3.99006 "n4p" 288 "D"
"131" "steelblue" -0.5873 "4p" 288 "D"
"132" "steelblue" -0.15455 "n4p" 288 "D"
"133" "steelblue" 0.17546 "4p" 288 "D"
"134" "steelblue" -0.49292 "n4p" 288 "D"
"135" "saddlebrown" 1.66247 "4p" 303 "D"
"136" "saddlebrown" 1.77426 "n4p" 303 "D"
"137" "saddlebrown" 1.27115 "4p" 303 "D"
"138" "saddlebrown" NA "n4p" 303 "D"
"139" "saddlebrown" 2.24078 "4p" 303 "D"
"140" "saddlebrown" -0.16663 "n4p" 303 "D"
"141" "saddlebrown" 2.86777 "4p" 303 "D"
"142" "saddlebrown" 0.65592 "n4p" 303 "D"
"143" "saddlebrown" NA "4p" 303 "D"
"144" "saddlebrown" 1.0302 "n4p" 303 "D"
"145" "skyblue" 0.40529 "4p" 308 "D"
"146" "skyblue" -0.31067 "n4p" 308 "D"
"147" "skyblue" 0.81632 "4p" 308 "D"
"148" "skyblue" 1.81349 "n4p" 308 "D"
"149" "skyblue" NA "4p" 308 "D"
"150" "skyblue" 1.51442 "n4p" 308 "D"
"151" "skyblue" 0.39794 "4p" 308 "D"
"152" "skyblue" 3.3303 "n4p" 308 "D"
"153" "skyblue" 0.46749 "4p" 308 "D"
"154" "skyblue" 0.08578 "n4p" 308 "D"
"155" "skyblue" 0.27303 "4p" 308 "D"
"156" "skyblue" 4.22377 "n4p" 308 "D"
"157" "skyblue" NA "4p" 308 "D"
"158" "skyblue" 0.0902 "n4p" 308 "D"
"159" "skyblue" 0.2477 "4p" 308 "D"
"160" "skyblue" 4.43579 "n4p" 308 "D"
"161" "white" -0.38387 "4p" 316 "D"
"162" "white" -0.25401 "n4p" 316 "D"
"163" "white" 0.68044 "4p" 316 "D"
"164" "white" 1.29793 "n4p" 316 "D"
"165" "white" 1.52775 "4p" 316 "D"
"166" "white" 1.5402 "n4p" 316 "D"
"167" "white" -0.44239 "4p" 316 "D"
"168" "white" 0.60306 "n4p" 316 "D"
"169" "white" -0.47908 "4p" 316 "D"
"170" "white" 1.40828 "n4p" 316 "D"
"171" "white" 0.54563 "4p" 316 "D"
"172" "white" 0.22208 "n4p" 316 "D"
"173" "darkorange" 6.10229 "4p" 320 "B"
"174" "darkorange" 0.64984 "n4p" 320 "B"
"175" "darkorange" 1.1085 "4p" 320 "B"
"176" "darkorange" 3.65978 "n4p" 320 "B"
"177" "darkorange" 10.44817 "4p" 320 "B"
"178" "darkorange" 2.71852 "n4p" 320 "B"
"179" "darkorange" 0.23639 "4p" 320 "B"
"180" "darkorange" 0.10738 "n4p" 320 "B"
"181" "darkorange" 3.85671 "4p" 320 "B"
"182" "darkorange" 0.69615 "n4p" 320 "B"
"183" "darkorange" 0.46584 "4p" 320 "B"
"184" "darkorange" 0.71866 "n4p" 320 "B"
"185" "darkorange" 3.31663 "4p" 320 "B"
"186" "darkorange" -0.1112 "n4p" 320 "B"
"187" "darkorange" 2.77715 "4p" 320 "B"
"188" "darkorange" 0.40552 "n4p" 320 "B"
"189" "orange" 6.90864 "4p" 361 "B"
"190" "orange" -0.46155 "n4p" 361 "B"
"191" "orange" 2.07224 "4p" 361 "B"
"192" "orange" 4.12773 "n4p" 361 "B"
"193" "orange" 3.02407 "4p" 361 "B"
"194" "orange" 3.17109 "n4p" 361 "B"
"195" "orange" 1.73116 "4p" 361 "B"
"196" "orange" 3.65332 "n4p" 361 "B"
"197" "orange" 0.14376 "4p" 361 "B"
"198" "orange" 1.61154 "n4p" 361 "B"
"199" "orange" 1.69269 "4p" 361 "B"
"200" "orange" 0.59997 "n4p" 361 "B"
"201" "orange" 2.38187 "4p" 361 "B"
"202" "orange" 0.14713 "n4p" 361 "B"
"203" "darkgrey" -0.09331 "4p" 396 "D"
"204" "darkgrey" 1.90435 "n4p" 396 "D"
"205" "darkgrey" -0.28519 "4p" 396 "D"
"206" "darkgrey" 0.85364 "n4p" 396 "D"
"207" "darkgrey" 5.85123 "4p" 396 "D"
"208" "darkgrey" 0.30882 "n4p" 396 "D"
"209" "darkgrey" 0.65172 "4p" 396 "D"
"210" "darkgrey" 0.9863 "n4p" 396 "D"
"211" "darkgrey" 1.99782 "4p" 396 "D"
"212" "darkgrey" 1.30235 "n4p" 396 "D"
"213" "darkgrey" 0.40511 "4p" 396 "D"
"214" "darkgrey" 0.98821 "n4p" 396 "D"
"215" "darkgrey" -0.33044 "4p" 396 "D"
"216" "darkgrey" 0.71375 "n4p" 396 "D"
"217" "darkgrey" 3.90744 "4p" 396 "D"
"218" "darkgrey" 1.3659 "n4p" 396 "D"
"219" "darkgrey" 0.88983 "4p" 396 "D"
"220" "darkgrey" -0.34841 "n4p" 396 "D"
"221" "darkgrey" 0.5761 "4p" 396 "D"
"222" "darkgrey" 0.53066 "n4p" 396 "D"
"223" "darkturquoise" -0.32624 "4p" 472 "D"
"224" "darkturquoise" 1.53509 "n4p" 472 "D"
"225" "darkturquoise" 0.39475 "4p" 472 "D"
"226" "darkturquoise" 0.09336 "n4p" 472 "D"
"227" "darkturquoise" -0.08202 "4p" 472 "D"
"228" "darkturquoise" 0.63488 "n4p" 472 "D"
"229" "darkturquoise" -0.5067 "4p" 472 "D"
"230" "darkturquoise" 0.28757 "n4p" 472 "D"
"231" "darkturquoise" 0.80214 "4p" 472 "D"
"232" "darkturquoise" 1.79771 "n4p" 472 "D"
"233" "darkturquoise" 0.59233 "4p" 472 "D"
"234" "darkturquoise" 0.96264 "n4p" 472 "D"
"235" "darkturquoise" 0.16999 "4p" 472 "D"
"236" "darkturquoise" 0.9142 "n4p" 472 "D"
"237" "darkgreen" 2.2573 "4p" 487 "D"
"238" "darkgreen" 0.22104 "n4p" 487 "D"
"239" "darkgreen" 1.18968 "4p" 487 "D"
"240" "darkgreen" 0.75708 "n4p" 487 "D"
"241" "darkgreen" 1.3338 "4p" 487 "D"
"242" "darkgreen" 2.21222 "n4p" 487 "D"
"243" "darkgreen" 2.79784 "4p" 487 "D"
"244" "darkgreen" 1.28512 "n4p" 487 "D"
"245" "darkgreen" 0.59383 "4p" 487 "D"
"246" "darkgreen" 1.86847 "n4p" 487 "D"
"247" "darkgreen" 0.7849 "4p" 487 "D"
"248" "darkgreen" 4.42853 "n4p" 487 "D"
"249" "darkgreen" 1.50647 "4p" 487 "D"
"250" "darkgreen" 0.43504 "n4p" 487 "D"
"251" "darkred" 1.62233 "4p" 499 "B"
"252" "darkred" 0.00274 "n4p" 499 "B"
"253" "darkred" 0.80185 "4p" 499 "B"
"254" "darkred" 2.08593 "n4p" 499 "B"
"255" "darkred" 8.86396 "4p" 499 "B"
"256" "darkred" 1.2315 "n4p" 499 "B"
"257" "darkred" 3.43238 "4p" 499 "B"
"258" "darkred" 0.31248 "n4p" 499 "B"
"259" "darkred" 1.37601 "4p" 499 "B"
"260" "darkred" 0.92858 "n4p" 499 "B"
"261" "darkred" 3.64968 "4p" 499 "B"
"262" "darkred" -0.1278 "n4p" 499 "B"
"263" "darkred" -0.42509 "4p" 499 "B"
"264" "darkred" 3.3871 "n4p" 499 "B"
"265" "darkred" 6.37431 "4p" 499 "B"
"266" "darkred" 3.20401 "n4p" 499 "B"
"267" "darkred" 1.43021 "4p" 499 "B"
"268" "darkred" 0.35466 "n4p" 499 "B"
"269" "darkred" 4.16696 "4p" 499 "B"
"270" "darkred" 0.31339 "n4p" 499 "B"
"271" "royalblue" -0.56354 "4p" 517 "D"
"272" "royalblue" 1.2819 "n4p" 517 "D"
"273" "royalblue" 2.26915 "4p" 517 "D"
"274" "royalblue" 1.94774 "n4p" 517 "D"
"275" "royalblue" 1.44027 "4p" 517 "D"
"276" "royalblue" 0.29509 "n4p" 517 "D"
"277" "royalblue" 0.38539 "4p" 517 "D"
"278" "royalblue" 1.20745 "n4p" 517 "D"
"279" "royalblue" 2.85457 "4p" 517 "D"
"280" "royalblue" 0.07198 "n4p" 517 "D"
"281" "royalblue" 2.13057 "4p" 517 "D"
"282" "royalblue" -0.01152 "n4p" 517 "D"
"283" "royalblue" 1.60303 "4p" 517 "D"
"284" "royalblue" -0.58696 "n4p" 517 "D"
"285" "royalblue" 0.34721 "4p" 517 "D"
"286" "royalblue" 0.81728 "n4p" 517 "D"
"287" "royalblue" 2.27301 "4p" 517 "D"
"288" "royalblue" -0.37816 "n4p" 517 "D"
"289" "royalblue" 0.89828 "4p" 517 "D"
"290" "royalblue" 4.47396 "n4p" 517 "D"
"291" "royalblue" -0.0606 "4p" 517 "D"
"292" "royalblue" 0.35956 "n4p" 517 "D"
"293" "lightyellow" 1.48786 "4p" 527 "B"
"294" "lightyellow" 1.7861 "n4p" 527 "B"
"295" "lightyellow" 3.39527 "4p" 527 "B"
"296" "lightyellow" 1.16213 "n4p" 527 "B"
"297" "lightyellow" 2.95766 "4p" 527 "B"
"298" "lightyellow" 2.4817 "n4p" 527 "B"
"299" "lightyellow" -0.73467 "4p" 527 "B"
"300" "lightyellow" 0.16991 "n4p" 527 "B"
"301" "lightyellow" 2.22174 "4p" 527 "B"
"302" "lightyellow" 1.85065 "n4p" 527 "B"
"303" "lightyellow" 3.18047 "4p" 527 "B"
"304" "lightyellow" 3.35195 "n4p" 527 "B"
"305" "lightgreen" 3.24675 "4p" 566 "D"
"306" "lightgreen" 2.03248 "n4p" 566 "D"
"307" "lightgreen" 1.34722 "4p" 566 "D"
"308" "lightgreen" 2.50626 "n4p" 566 "D"
"309" "lightgreen" 1.59385 "4p" 566 "D"
"310" "lightgreen" 0.94834 "n4p" 566 "D"
"311" "lightgreen" 1.14788 "4p" 566 "D"
"312" "lightgreen" -0.10384 "n4p" 566 "D"
"313" "lightgreen" 2.72702 "4p" 566 "D"
"314" "lightgreen" 0.03301 "n4p" 566 "D"
"315" "lightgreen" -0.31225 "4p" 566 "D"
"316" "lightgreen" 0.3482 "n4p" 566 "D"
"317" "lightgreen" -0.08175 "4p" 566 "D"
"318" "lightgreen" -0.054 "n4p" 566 "D"
"319" "lightgreen" 1.15956 "4p" 566 "D"
"320" "lightgreen" 0.52613 "n4p" 566 "D"
"321" "grey60" -1.21597 "4p" 607 "D"
"322" "grey60" -0.09065 "n4p" 607 "D"
"323" "grey60" 8.0265 "4p" 607 "D"
"324" "grey60" -0.05465 "n4p" 607 "D"
