"D154" "D151" "D171" "D135" "D168" "D159"
"DIABRO_000052" 13.1035228828136 13.1192918860975 13.1091676906109 12.8729288829454 12.8070804506862 13.399802958784
"DIABRO_000053" 10.6987101592272 10.9570570231476 11.8949921282191 10.4301135405232 10.2012315037303 9.84566625684337
"DIABRO_000054" 10.0215645514295 9.94453136836672 9.34349555142153 9.98473643912525 9.91550568265478 9.39402877379803
"DIABRO_000055" 10.7333843089235 10.9896275007833 10.887433292745 10.6296741499213 10.803722906212 11.2143421588045
"DIABRO_000059" 5.88545959572499 6.11432973639582 6.26955034070281 6.19687052082209 7.1135670975227 6.56215761973059
"DIABRO_000060" 12.0765841516219 12.2760556348755 11.460267999245 11.3266785376783 9.64568583626007 9.48444503052192
"DIABRO_000061" 8.48286824675754 8.31090792745319 9.4380243594535 8.40903014044254 7.65483226435064 8.10698949087858
"DIABRO_000062" 12.1104028599306 11.8364118934768 11.6168258117532 12.2439719178458 11.3010611668178 11.8287840271051
"DIABRO_000063" 8.74415767305307 8.59079527312185 8.00699239394414 9.03179840461886 9.05942417196623 8.92920959259988
"DIABRO_000064" 9.9285152850681 9.86966198030486 9.87213093595276 10.0770245356979 9.92377489499701 9.78010694479533
"DIABRO_000065" 9.86150382537991 9.66473519533991 10.1604633727784 9.44438564804454 9.66116443973623 9.20682182606229
"DIABRO_000066" 8.86608963702391 8.30753947389865 9.2978288362943 8.52371713388069 8.25050485351055 8.85809673166765
"DIABRO_000069" 10.7687996390573 10.503801509735 9.92133083597964 11.3475439501309 11.4082985630379 11.0795731396413
"DIABRO_000070" 10.446010136291 10.1547775400259 9.1823394245848 10.3469752964797 10.1791514313338 10.2812197997273
"DIABRO_000072" 9.44453459602917 10.092251462941 8.91636061083519 9.72424150582114 9.42375089225285 9.34731068033648
"DIABRO_000073" 9.37253366612021 9.86513419366109 10.5295865352289 9.14812887480098 9.62440894276011 10.5424388097347
"DIABRO_000074" 10.3546717152768 10.550337248603 10.5209916735956 10.3487388306911 10.3992862161552 10.754322500677
"DIABRO_000075" 8.38385383925153 9.19938046363401 9.85443720030299 9.45097959327004 9.93926605055458 9.84057090535388
"DIABRO_000077" 10.7189709090306 10.715248117865 10.950865947982 10.3425569932922 10.5675293104246 10.4478505314579
"DIABRO_000078" 8.79725805689347 8.50546233634252 9.01062368473923 9.24626183505274 10.248063040955 9.73467947064465
"DIABRO_000079" 9.28587550244253 9.28167832569204 8.51087937628085 7.92488277733245 9.09575963830322 8.81908579286871
"DIABRO_000084" 11.9968818233851 11.3068155041658 11.8989759329688 11.3741821014346 11.3059848741493 11.2819807635386
"DIABRO_000085" 11.865322806985 11.361622447983 11.020796409546 11.0704389491121 11.0646260858487 11.2381460043614
"DIABRO_000087" 7.97761532158044 7.46770336491542 7.42276946635356 6.88877933610315 8.42018350434815 7.39231039225545
"DIABRO_000088" 13.0614757011833 13.0599413425877 12.6768831106878 12.9916051109304 12.450735017463 13.4288267699965
"DIABRO_000089" 9.59443798512179 8.86603113106824 9.00072767505349 9.03179840461886 8.17146600254757 9.73906825078235
"DIABRO_000090" 6.51703753901837 5.82558064927863 5.89251671900472 6.83468257706961 6.33273359056603 6.09418678512367
"DIABRO_000092" 6.97884786141109 6.77064765534764 5.82527937781294 5.59251025025394 7.12717370839441 6.21397971535448
"DIABRO_000093" 5.88545959572499 6.21012971259101 6.58417246144111 5.48313750462089 5.81918790863331 6.61775559092027
"DIABRO_000094" 6.04144233841068 6.42170897368831 5.95398210811301 5.88581051182048 5.64699555781606 6.58473033787567
"DIABRO_000095" 10.6880609385277 10.798857594905 9.7300695500955 11.0347485681763 11.1737058130017 10.958881151193
"DIABRO_000096" 7.98308578453402 7.82039709542521 7.89213169323716 10.5236218597666 9.91918675568196 10.458524511322
"DIABRO_000097" 11.3302564336717 11.5332040666527 11.223449262917 11.6480359497087 11.5786839729354 11.516399948477
"DIABRO_000098" 7.20179071656968 7.7667618752093 7.88667764922674 6.99028308466145 8.01967249784985 8.22578254449506
"DIABRO_000099" 8.28178816140685 8.29738552424001 10.4566463088061 8.242579367457 8.71065394851255 9.73577792204792
"DIABRO_000100" 6.26492824526311 6.17301891430143 6.43864588119461 6.47434294196589 6.57241628863261 6.95465431779421
"DIABRO_000103" 10.8326669275393 10.8512571399743 10.5261547392868 10.9414550961958 11.0378145001414 10.6753272041922
"DIABRO_000104" 12.3269718855439 12.1364492816951 12.3287095896201 12.1879734820572 11.9698000543768 11.893113307956
"DIABRO_000105" 11.5148953825026 11.0777793497245 12.464379759901 10.9167114369923 10.5878931446114 10.5505676315265
"DIABRO_000106" 6.36936506619391 5.31435950923722 6.62869610955425 5.82448971416809 5.10409291609478 5.83705656285963
"DIABRO_000107" 8.40421915861372 8.45472450773218 8.84619127795152 8.81317831962635 8.79965190474292 9.28104853769768
"DIABRO_000108" 9.18898676493403 9.85031969881911 9.99024578767377 8.94551531825994 9.92102376716681 9.53203930256249
"DIABRO_000109" 10.2900338424004 10.7013580663053 10.6550715964872 9.99941183340438 10.2385232829846 10.4008911187974
"DIABRO_000110" 10.9809556222886 11.1277225693483 10.8027641255028 10.9285471056063 10.9694068151807 11.0339291483187
"DIABRO_000111" 7.18215870485004 7.09805420782016 6.76570615695368 6.69387213868849 7.42785278703783 5.97626221914113
"DIABRO_000112" 10.4787037103484 10.7019923444372 10.3769609426516 10.424271860954 10.4880304873927 10.5120211310919
"DIABRO_000113" 11.9184840940062 12.2220444249872 11.392177883218 12.2131035436086 12.4249446591923 12.5285946717849
"DIABRO_000114" 8.59674976287654 8.46682741176459 8.47182738915236 8.81574393481805 8.53104693470635 8.88617416533033
"DIABRO_000115" 6.61587282963493 6.63413351167621 6.73956618773067 6.57575215005358 6.78712535582657 6.76991795720067
"DIABRO_000116" 12.3155790638805 12.1118489467684 11.9446584585573 12.2282613308141 12.1379819058757 12.138621673366
"DIABRO_000117" 10.1501525884729 10.2507091567258 10.1370228153823 10.0038974025855 10.2611684902252 10.3480501614882
"DIABRO_000118" 9.26833853773688 8.47284028045959 8.04163460138477 9.21752110021414 8.93178186866149 8.67692400092189
"DIABRO_000119" 8.46748424041376 8.41465940858681 8.59252428756179 8.69545830513842 8.65178735441504 8.87820824393213
"DIABRO_000120" 5.8124003964559 5.52351974881145 7.705913110956 13.0908957205455 5.76709083781507 6.09418678512367
"DIABRO_000121" 12.3192982421064 10.6873328658708 11.535134331486 11.7358455961714 11.5050561449506 10.7269983310222
"DIABRO_000122" 9.69455385725591 7.96121481662702 9.65655082213087 9.87636921577826 8.43322782495266 8.45856448995492
"DIABRO_000123" 6.17237591345001 5.98329955144691 6.69922767026006 5.94226448295537 6.15568012519531 5.88649508850194
"DIABRO_000124" 6.34933581282824 5.69519984061999 5.85971338227403 5.91457979813723 5.79366841629284 5.88649508850194
"DIABRO_000125" 6.63152645530146 6.3134294977903 6.58417246144111 6.11283116558013 6.20316010752252 6.24551099969936
"DIABRO_000126" 12.2455446311304 11.5805222601801 10.0993989498395 10.3048983342515 12.4013159870085 10.7483554642788
"DIABRO_000127" 8.73137047050604 8.23842072605577 8.62843104605126 8.75017610555878 8.33928277919496 8.85404019209594
"DIABRO_000128" 6.63152645530146 6.51977593452696 7.0724051753444 6.21672104615658 6.33273359056603 6.87018624470228
"DIABRO_000129" 6.44578784715603 6.51977593452696 6.86486985085802 6.27387843299716 6.13928276547881 6.33433740702854
"DIABRO_000130" 5.63436255077646 5.46764507602361 6.01085836050053 5.59251025025394 5.29702874508487 5.83705656285963
"DIABRO_000132" 9.45425508577433 7.31688901405695 9.10137085153731 9.22331553891268 7.61799847484729 7.68346694404418
"DIABRO_000133" 7.47354285847992 7.65275134699977 8.8544660370713 7.54395598202878 7.91095279758466 8.20023995843822
"DIABRO_000134" 7.48930104910199 7.30992497065727 6.22768603836492 7.40304558701557 7.20591457844524 6.40274635467825
"DIABRO_000135" 7.55054710585535 7.55179948970016 7.40730566195554 7.71712367703175 7.71698742509372 6.27602988741141
"DIABRO_000136" 7.21149603711776 7.16221833460633 7.0724051753444 7.18829416593266 7.45446545094816 7.48754207042729
"DIABRO_000138" 12.5958554998586 13.2615596089254 12.094323352109 12.7773681243575 13.2310443578758 13.3780185639236
"DIABRO_000139" 8.62817002725143 8.67128916147582 8.26271388964129 8.39186009959011 8.48673751363865 8.32059718387671
"DIABRO_000141" 7.71259753242853 6.86355431158751 7.36783932772018 7.15450579315835 6.78712535582657 6.38942668515966
"DIABRO_000142" 9.58030974763745 9.9605351016684 8.96299529476318 9.52001555342328 10.1299849632505 9.51805365162331
"DIABRO_000143" 11.9812040955326 12.3591994632354 11.8732198696942 11.8407010033792 12.2438425381445 11.9575189237323
"DIABRO_000144" 9.80797842693741 9.17025003067828 9.62155571002089 9.59781351785473 9.52274551710087 9.31382592180664
"DIABRO_000145" 12.0825365033162 12.4985580832072 12.063301280462 12.1795810796134 12.5080084616393 12.0672301441466
"DIABRO_000147" 6.80444722029668 7.22333062959791 7.39165979230992 6.41177785572118 7.92595025036167 7.03371763214636
"DIABRO_000148" 6.46405096380981 7.23816832728983 11.3641115619819 6.88877933610315 9.06942569462409 9.14520455231813
"DIABRO_000149" 6.06927427631808 5.98329955144691 5.95398210811301 5.7915988332439 5.71019708743492 5.90997575168567
"DIABRO_000150" 11.6610770616451 11.0446633318547 10.7322983151301 11.2214210898433 10.9953326327022 11.1421338205868
"DIABRO_000151" 8.90072552109797 7.81560666558831 6.87670962344916 8.17973929586604 7.71698742509372 6.82564670014461
"DIABRO_000152" 8.4480161148409 7.60321531168206 9.52154190723444 7.91034073743862 7.90339273470551 8.5469571392532
"DIABRO_000153" 10.389479230164 10.255903885965 10.3442003297925 10.2091209958832 10.1043535227071 10.229175122974
"DIABRO_000154" 13.7409770982393 11.7741584107203 13.3894329178787 11.6165615492951 8.77740876887112 10.5017375389754
"DIABRO_000155" 10.025476859809 10.0569661492989 9.5607077066514 9.870239221702 10.2214888994361 9.37015188683595
"DIABRO_000156" 8.84549026686563 8.68685514576542 7.0824290535658 8.9594900235003 9.00138878670135 7.73397767025655
"DIABRO_000157" 9.2880526187913 9.2208460943178 8.43536599823411 9.80231557193618 9.63228449028856 9.6179843739975
"DIABRO_000158" 5.57890891326941 5.82558064927863 5.70933476210773 5.63862335205249 5.89041168774354 6.21397971535448
