"preprocessed" "module_detected" "compared" "submodule_detected"
"DIABRO_000135" TRUE "turquoise" TRUE "turquoise"
"DIABRO_000136" TRUE "magenta" TRUE "magenta"
"DIABRO_000138" TRUE "black" TRUE "yellow"
"DIABRO_000139" TRUE "brown" TRUE "saddlebrown"
"DIABRO_000141" TRUE "green" TRUE "turquoise"
"DIABRO_000142" TRUE "brown" TRUE "orange"
"DIABRO_000143" TRUE "brown" TRUE "turquoise"
"DIABRO_000144" TRUE "darkred" TRUE "brown"
"DIABRO_000145" TRUE "brown" TRUE "greenyellow"
"DIABRO_000147" TRUE "darkturquoise" TRUE "turquoise"
"DIABRO_000148" TRUE "turquoise" TRUE "turquoise"
"DIABRO_000149" TRUE "darkolivegreen" TRUE "blue"
"DIABRO_000150" TRUE "turquoise" TRUE "green"
"DIABRO_000151" TRUE "pink" TRUE "tan"
"DIABRO_000152" TRUE "brown" TRUE "cyan"
"DIABRO_000153" TRUE "cyan" TRUE "magenta"
"DIABRO_000154" TRUE "yellow" TRUE "brown"
"DIABRO_000155" TRUE "darkgrey" TRUE "turquoise"
"DIABRO_000156" TRUE "violet" TRUE "turquoise"
"DIABRO_000157" TRUE "blue" TRUE "purple"
"DIABRO_000158" TRUE "brown" TRUE "lightyellow"
"DIABRO_000163" TRUE "turquoise" TRUE "cyan"
"DIABRO_000164" TRUE "turquoise" TRUE "salmon"
"DIABRO_000166" TRUE "cyan" TRUE "purple"
"DIABRO_000167" TRUE "blue" TRUE "royalblue"
"DIABRO_000168" TRUE "brown" TRUE "purple"
"DIABRO_000169" TRUE "cyan" TRUE "turquoise"
"DIABRO_000172" TRUE "tan" TRUE "blue"
"DIABRO_000174" TRUE "lightcyan" TRUE "pink"
"DIABRO_000175" TRUE "purple" TRUE "yellow"
"DIABRO_000176" TRUE "grey" TRUE "turquoise"
"DIABRO_000177" TRUE "orangered4" TRUE "turquoise"
"DIABRO_000178" TRUE "royalblue" TRUE "brown"
"DIABRO_000179" TRUE "red" TRUE "magenta"
"DIABRO_000180" TRUE "pink" TRUE "brown"
"DIABRO_000182" TRUE "blue" TRUE "red"
"DIABRO_000183" TRUE "brown" TRUE "green"
"DIABRO_000184" TRUE "salmon" TRUE "salmon"
"DIABRO_000185" TRUE "pink" TRUE "tan"
"DIABRO_000186" TRUE "turquoise" TRUE "red"
"DIABRO_000190" TRUE "orange" TRUE "yellow"
"DIABRO_000191" TRUE "purple" TRUE "turquoise"
"DIABRO_000192" TRUE "darkorange" TRUE "yellow"
"DIABRO_000193" TRUE "brown" TRUE "greenyellow"
"DIABRO_000194" TRUE "salmon" TRUE "turquoise"
"DIABRO_000195" TRUE "royalblue" TRUE "red"
"DIABRO_000196" TRUE "brown" TRUE "royalblue"
"DIABRO_000198" TRUE "sienna3" TRUE "turquoise"
"DIABRO_000200" TRUE "yellow" TRUE "black"
"DIABRO_000202" TRUE "pink" TRUE "greenyellow"
"DIABRO_000203" TRUE "magenta" TRUE "turquoise"
"DIABRO_000204" TRUE "yellow" TRUE "brown"
"DIABRO_000208" TRUE "cyan" TRUE "red"
"DIABRO_000209" TRUE "brown" TRUE "darkgrey"
"DIABRO_000210" TRUE "blue" TRUE "cyan"
"DIABRO_000211" TRUE "purple" TRUE "black"
"DIABRO_000212" TRUE "orange" TRUE "yellow"
"DIABRO_000213" TRUE "green" TRUE "turquoise"
"DIABRO_000214" TRUE "lightcyan" TRUE "greenyellow"
"DIABRO_000215" TRUE "midnightblue" TRUE "turquoise"
"DIABRO_000216" TRUE "brown" TRUE "lightyellow"
"DIABRO_000222" TRUE "darkred" TRUE "green"
"DIABRO_000223" TRUE "saddlebrown" TRUE "turquoise"
"DIABRO_000224" TRUE "yellow" TRUE "brown"
"DIABRO_000225" TRUE "skyblue" TRUE "turquoise"
"DIABRO_000226" TRUE "lightcyan" TRUE "brown"
"DIABRO_000227" TRUE "lightyellow" TRUE "yellow"
"DIABRO_000228" TRUE "midnightblue" TRUE "blue"
"DIABRO_000229" TRUE "white" TRUE "green"
"DIABRO_000230" TRUE "green" TRUE "turquoise"
"DIABRO_000231" TRUE "mediumpurple3" TRUE "turquoise"
"DIABRO_000233" TRUE "saddlebrown" TRUE "turquoise"
"DIABRO_000235" TRUE "midnightblue" TRUE "turquoise"
"DIABRO_000236" TRUE "lightgreen" TRUE "turquoise"
"DIABRO_000237" TRUE "red" TRUE "turquoise"
"DIABRO_000238" TRUE "grey60" TRUE "blue"
"DIABRO_000239" TRUE "brown" TRUE "brown"
"DIABRO_000240" TRUE "green" TRUE "turquoise"
"DIABRO_000241" TRUE "green" TRUE "turquoise"
"DIABRO_000242" TRUE "midnightblue" TRUE "blue"
"DIABRO_000243" TRUE "brown" TRUE "turquoise"
"DIABRO_000244" TRUE "black" TRUE "red"
"DIABRO_000245" TRUE "lightcyan" TRUE "salmon"
"DIABRO_000246" TRUE "yellowgreen" TRUE "turquoise"
"DIABRO_000247" TRUE "green" TRUE "turquoise"
"DIABRO_000248" TRUE "magenta" TRUE "turquoise"
"DIABRO_000249" TRUE "black" TRUE "turquoise"
"DIABRO_000250" TRUE "blue" TRUE "turquoise"
"DIABRO_000251" TRUE "white" TRUE "blue"
"DIABRO_000252" TRUE "yellow" TRUE "pink"
"DIABRO_000253" TRUE "midnightblue" TRUE "red"
"DIABRO_000255" TRUE "green" TRUE "turquoise"
"DIABRO_000256" TRUE "steelblue" TRUE "yellow"
"DIABRO_000258" TRUE "red" TRUE "blue"
"DIABRO_000259" TRUE "turquoise" TRUE "blue"
"DIABRO_000260" TRUE "royalblue" TRUE "turquoise"
"DIABRO_000261" TRUE "purple" TRUE "purple"
"DIABRO_000262" TRUE "yellow" TRUE "brown"
"DIABRO_000263" TRUE "grey" TRUE "grey"
"DIABRO_000264" TRUE "blue" TRUE "darkred"
"DIABRO_000265" TRUE "greenyellow" TRUE "yellow"
"DIABRO_000266" TRUE "darkmagenta" TRUE "brown"
"DIABRO_000267" TRUE "red" TRUE "brown"
"DIABRO_000268" TRUE "black" TRUE "blue"
"DIABRO_000270" TRUE "black" TRUE "blue"
"DIABRO_000271" TRUE "red" TRUE "brown"
"DIABRO_000272" TRUE "black" TRUE "black"
"DIABRO_000274" TRUE "blue" TRUE "green"
"DIABRO_000275" TRUE "darkgrey" TRUE "turquoise"
"DIABRO_000276" TRUE "magenta" TRUE "yellow"
"DIABRO_000277" TRUE "plum1" TRUE "turquoise"
"DIABRO_000279" TRUE "steelblue" TRUE "turquoise"
"DIABRO_000280" TRUE "yellowgreen" TRUE "blue"
"DIABRO_000281" TRUE "blue" TRUE "red"
"DIABRO_000282" TRUE "lightyellow" TRUE "turquoise"
"DIABRO_000283" TRUE "white" TRUE "turquoise"
"DIABRO_000284" TRUE "black" TRUE "greenyellow"
"DIABRO_000285" TRUE "darkturquoise" TRUE "turquoise"
"DIABRO_000287" TRUE "tan" TRUE "turquoise"
"DIABRO_000288" TRUE "grey60" TRUE "turquoise"
"DIABRO_000289" TRUE "darkolivegreen" TRUE "yellow"
"DIABRO_000290" TRUE "green" TRUE "turquoise"
"DIABRO_000291" TRUE "black" TRUE "green"
"DIABRO_000292" TRUE "grey60" TRUE "turquoise"
"DIABRO_000297" TRUE "magenta" TRUE "red"
"DIABRO_000300" TRUE "pink" TRUE "blue"
"DIABRO_000301" TRUE "pink" TRUE "greenyellow"
"DIABRO_000302" TRUE "turquoise" TRUE "turquoise"
"DIABRO_000303" TRUE "brown" TRUE "purple"
"DIABRO_000304" TRUE "yellow" TRUE "lightyellow"
"DIABRO_000305" TRUE "salmon" TRUE "greenyellow"
"DIABRO_000306" TRUE "midnightblue" TRUE "turquoise"
"DIABRO_000308" TRUE "lightcyan" TRUE "turquoise"
"DIABRO_000310" TRUE "yellow" TRUE "brown"
"DIABRO_000311" TRUE "midnightblue" TRUE "black"
"DIABRO_000313" TRUE "paleturquoise" TRUE "turquoise"
"DIABRO_000314" TRUE "magenta" TRUE "purple"
"DIABRO_000315" TRUE "darkmagenta" TRUE "blue"
"DIABRO_000316" TRUE "paleturquoise" TRUE "turquoise"
"DIABRO_000317" TRUE "lightyellow" TRUE "turquoise"
"DIABRO_000319" TRUE "lightyellow" TRUE "green"
"DIABRO_000320" TRUE "lightyellow" TRUE "turquoise"
"DIABRO_000323" TRUE "blue" TRUE "saddlebrown"
"DIABRO_000324" TRUE "brown" TRUE "blue"
"DIABRO_000325" TRUE "paleturquoise" TRUE "turquoise"
"DIABRO_000327" TRUE "salmon" TRUE "turquoise"
"DIABRO_000328" TRUE "plum1" TRUE "green"
"DIABRO_000329" TRUE "skyblue3" TRUE "turquoise"
"DIABRO_000331" TRUE "darkred" TRUE "yellow"
"DIABRO_000333" TRUE "green" TRUE "turquoise"
"DIABRO_000336" TRUE "cyan" TRUE "yellow"
"DIABRO_000337" TRUE "tan" TRUE "purple"
"DIABRO_000338" TRUE "red" TRUE "blue"
"DIABRO_000339" TRUE "lightyellow" TRUE "turquoise"
"DIABRO_000340" TRUE "darkred" TRUE "turquoise"
"DIABRO_000341" TRUE "pink" TRUE "cyan"
"DIABRO_000342" TRUE "white" TRUE "brown"
"DIABRO_000343" TRUE "purple" TRUE "pink"
"DIABRO_000345" TRUE "royalblue" TRUE "yellow"
"DIABRO_000346" TRUE "magenta" TRUE "turquoise"
"DIABRO_000348" TRUE "yellow" TRUE "magenta"
"DIABRO_000349" TRUE "yellow" TRUE "green"
"DIABRO_000350" TRUE "grey60" TRUE "turquoise"
"DIABRO_000351" TRUE "paleturquoise" TRUE "turquoise"
"DIABRO_000352" TRUE "turquoise" TRUE "blue"
"DIABRO_000353" TRUE "turquoise" TRUE "turquoise"
"DIABRO_000355" TRUE "brown" TRUE "darkgreen"
"DIABRO_000358" TRUE "paleturquoise" TRUE "brown"
"DIABRO_000359" TRUE "green" TRUE "turquoise"
"DIABRO_000360" TRUE "royalblue" TRUE "black"
"DIABRO_000361" TRUE "yellow" TRUE "lightyellow"
"DIABRO_000362" TRUE "purple" TRUE "tan"
"DIABRO_000363" TRUE "blue" TRUE "turquoise"
"DIABRO_000364" TRUE "blue" TRUE "darkred"
"DIABRO_000365" TRUE "royalblue" TRUE "blue"
"DIABRO_000366" TRUE "cyan" TRUE "yellow"
"DIABRO_000367" TRUE "yellow" TRUE "lightyellow"
"DIABRO_000368" TRUE "darkorange" TRUE "green"
"DIABRO_000369" TRUE "mediumpurple3" TRUE "turquoise"
"DIABRO_000371" TRUE "darkgreen" TRUE "turquoise"
"DIABRO_000372" TRUE "skyblue3" TRUE "turquoise"
"DIABRO_000373" TRUE "green" TRUE "turquoise"
"DIABRO_000376" TRUE "darkgreen" TRUE "blue"
"DIABRO_000377" TRUE "saddlebrown" TRUE "brown"
"DIABRO_000378" TRUE "turquoise" TRUE "blue"
"DIABRO_000381" TRUE "turquoise" TRUE "turquoise"
"DIABRO_000382" TRUE "brown" TRUE "blue"
"DIABRO_000383" TRUE "salmon" TRUE "red"
"DIABRO_000384" TRUE "blue" TRUE "darkgrey"
"DIABRO_000385" TRUE "turquoise" TRUE "tan"
"DIABRO_000386" TRUE "yellow" TRUE "turquoise"
"DIABRO_000387" TRUE "skyblue" TRUE "brown"
"DIABRO_000389" TRUE "darkgrey" TRUE "turquoise"
"DIABRO_000390" TRUE "darkolivegreen" TRUE "blue"
"DIABRO_000391" TRUE "brown" TRUE "turquoise"
"DIABRO_000392" TRUE "darkred" TRUE "turquoise"
"DIABRO_000395" TRUE "lightcyan" TRUE "blue"
"DIABRO_000396" TRUE "grey60" TRUE "turquoise"
"DIABRO_000397" TRUE "darkmagenta" TRUE "blue"
"DIABRO_000398" TRUE "grey" TRUE "grey"
"DIABRO_000399" TRUE "blue" TRUE "royalblue"
"DIABRO_000400" TRUE "yellow" TRUE "lightgreen"
"DIABRO_000401" TRUE "saddlebrown" TRUE "turquoise"
"DIABRO_000402" TRUE "cyan" TRUE "yellow"
"DIABRO_000403" TRUE "yellow" TRUE "turquoise"
"DIABRO_000404" TRUE "lightgreen" TRUE "blue"
"DIABRO_000405" TRUE "brown" TRUE "grey60"
"DIABRO_000406" TRUE "midnightblue" TRUE "blue"
"DIABRO_000407" TRUE "salmon" TRUE "green"
"DIABRO_000408" TRUE "green" TRUE "turquoise"
