"noise" "comp_group" "module" "cons"
"161" 0.5 "a" "skyblue3" 0
"162" 0.5 "a" "steelblue" 5
"163" 0.5 "a" "tan" 1
"164" 0.5 "a" "turquoise" 5
"165" 0.5 "a" "violet" 3
"166" 0.5 "a" "white" 2
"167" 0.5 "a" "yellow" NA
"168" 0.5 "a" "yellowgreen" 3
"169" 0.5 "c" "black" 0
"170" 0.5 "c" "blue" 5
"171" 0.5 "c" "brown" 5
"172" 0.5 "c" "cyan" 2
"173" 0.5 "c" "darkgreen" 0
"174" 0.5 "c" "darkgrey" 0
"175" 0.5 "c" "darkmagenta" 0
"176" 0.5 "c" "darkolivegreen" 0
"177" 0.5 "c" "darkorange" 2
"178" 0.5 "c" "darkred" 2
"179" 0.5 "c" "darkturquoise" 5
"180" 0.5 "c" "green" 5
"181" 0.5 "c" "greenyellow" 1
"182" 0.5 "c" "grey" 5
"183" 0.5 "c" "grey60" 5
"184" 0.5 "c" "lightcyan" 0
"185" 0.5 "c" "lightgreen" 5
"186" 0.5 "c" "lightsteelblue1" 5
"187" 0.5 "c" "lightyellow" 4
"188" 0.5 "c" "magenta" 2
"189" 0.5 "c" "mediumpurple3" 1
"190" 0.5 "c" "midnightblue" 0
"191" 0.5 "c" "orange" 4
"192" 0.5 "c" "orangered4" 0
"193" 0.5 "c" "paleturquoise" 5
"194" 0.5 "c" "pink" 5
"195" 0.5 "c" "plum1" 0
"196" 0.5 "c" "purple" 5
"197" 0.5 "c" "red" 5
"198" 0.5 "c" "royalblue" 0
"199" 0.5 "c" "saddlebrown" NA
"200" 0.5 "c" "salmon" 0
"201" 0.5 "c" "sienna3" 1
"202" 0.5 "c" "skyblue" NA
"203" 0.5 "c" "skyblue3" 0
"204" 0.5 "c" "steelblue" 5
"205" 0.5 "c" "tan" 0
"206" 0.5 "c" "turquoise" 5
"207" 0.5 "c" "violet" 3
"208" 0.5 "c" "white" 1
"209" 0.5 "c" "yellow" NA
"210" 0.5 "c" "yellowgreen" 4
"211" 0.5 "h" "black" 0
"212" 0.5 "h" "blue" 5
"213" 0.5 "h" "brown" 3
"214" 0.5 "h" "cyan" 1
"215" 0.5 "h" "darkgreen" 0
"216" 0.5 "h" "darkgrey" 0
"217" 0.5 "h" "darkmagenta" 1
"218" 0.5 "h" "darkolivegreen" 0
"219" 0.5 "h" "darkorange" 0
"220" 0.5 "h" "darkred" 1
"221" 0.5 "h" "darkturquoise" 3
"222" 0.5 "h" "green" 5
"223" 0.5 "h" "greenyellow" 4
"224" 0.5 "h" "grey" 5
"225" 0.5 "h" "grey60" 5
"226" 0.5 "h" "lightcyan" 0
"227" 0.5 "h" "lightgreen" 5
"228" 0.5 "h" "lightsteelblue1" 4
"229" 0.5 "h" "lightyellow" 5
"230" 0.5 "h" "magenta" 1
"231" 0.5 "h" "mediumpurple3" 0
"232" 0.5 "h" "midnightblue" 0
"233" 0.5 "h" "orange" 5
"234" 0.5 "h" "orangered4" 2
